Tilinumero	FI0613505000120405

Kirjauspäivä	Arvopäivä	Maksupäivä	Määrä	Saaja/Maksaja	Tilinumero	BIC	Tapahtuma	Viite	Maksajan viite	Viesti	Kortinnumero	Kuitti	

03.10.2016	02.10.2016	02.10.2016	200,00	FAMILY_1									

03.10.2016	03.10.2016	03.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	160929609290		HELSINKI 	5100121231231231		

03.10.2016	03.10.2016	03.10.2016	-9,80	Punavuoren Ahven			Korttiosto	160930160000		Helsinki 	5100121231231231		

03.10.2016	03.10.2016	03.10.2016	-21,00	T mi Dimrat			Korttiosto	160930160000		HELSINKI 	5100121231231231		

03.10.2016	03.10.2016	03.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	160930609300		HELSINKI 	5100121231231231		

05.10.2016	05.10.2016	05.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161003610030		HELSINKI 	5100121231231231		

06.10.2016	06.10.2016	06.10.2016	-1,70	Fazer Food Services Oy			Korttiosto	161004610040		HELSINKI 	5100121231231231		

06.10.2016	06.10.2016	06.10.2016	-2,86	ALEPA CALONIUKSENKATU			Korttiosto	161004827929		HELSINKI 	5100121231231231		

06.10.2016	06.10.2016	06.10.2016	-3,30	Zeberas Oy			Korttiosto	161005121206		Helsinki 	5100121231231231		

07.10.2016	07.10.2016	07.10.2016	-10,00	VFI			Korttiosto	161005000906		Helsinki 	5100121231231231		

07.10.2016	07.10.2016	07.10.2016	-30,00	HSL Kamppi			Korttiosto	161006001229		Helsinki 	5100121231231231		

10.10.2016	10.10.2016	10.10.2016	-13,14	PAYPAL *PAY.GOV U.S			Korttiosto	161007640662		EUR          13,14 4029357733 	5100121231231231		

10.10.2016	10.10.2016	10.10.2016	-3,25	Nordea Pankki Suomi Oyj	123		Palvelumaksu ALV 0%			Päivittäispalvelut  9/2016 Nordea Electron       1 kpl    2,50 Korttitapahtumakysely                       1 kpl    0,75 Muut avainasiakasedut yht.     9,25 			

10.10.2016	10.10.2016	10.10.2016	-21,68	Tele Finland/TeliaSonera Finla	FI4850000120223200	OKOYFIHH	e-lasku	11 63838 27933					

12.10.2016	12.10.2016	12.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161010610100		HELSINKI 	5100121231231231		

13.10.2016	13.10.2016	13.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161011610110		HELSINKI 	5100121231231231		

13.10.2016	13.10.2016	13.10.2016	-4,99	PAYPAL *SPOTIFY			Korttiosto	161012640000		EUR           4,99 35314369001 	5100121231231231		

14.10.2016	14.10.2016	14.10.2016	1111,11	XYZ CO			Pano		2016.10.14-FV333001-001001000875	2016.10.14  			

14.10.2016	14.10.2016	14.10.2016	-8,99	ALEPA CALONIUKSENKATU			Korttiosto	161012828728		HELSINKI 	5100121231231231		

14.10.2016	14.10.2016	14.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161012610120		HELSINKI 	5100121231231231		

14.10.2016	14.10.2016	14.10.2016	800,00	MY ACC			Tilisiirto						

14.10.2016	14.10.2016	14.10.2016	-8,30	Cafe Esplanad			Korttiosto	161013011354		Helsinki 	5100121231231231		

17.10.2016	17.10.2016	17.10.2016	-300,00	NORDNET BANK AB	182030-8391	NDEAFIHHXXX							

17.10.2016	17.10.2016	17.10.2016	-100,00	MY ACC	176124-14471	NDEAFIHHXXX	Itsepalvelu			 			

17.10.2016	17.10.2016	17.10.2016	-14,50	Ristorante Papa Albert			Korttiosto	161013192911		Helsinki 	5100121231231231		

17.10.2016	17.10.2016	17.10.2016	-24,00	Central			Korttiosto	161015031598		HELSINKI 	5100121231231231		

17.10.2016	17.10.2016	17.10.2016	-1,70	Fazer Food Services Oy			Korttiosto	161013610130		HELSINKI 	5100121231231231		

18.10.2016	18.10.2016	18.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161014610140		HELSINKI 	5100121231231231		

18.10.2016	18.10.2016	18.10.2016	-1,00	UniSport   Töölö kassa 37			Korttiosto	161017037727		HELSINKI 	5100121231231231		

19.10.2016	19.10.2016	19.10.2016	-250,00	MY ACC	313	NDEAFIHH				 			

19.10.2016	19.10.2016	19.10.2016	-30,00	R HKI KAMPIN METRO			Korttiosto	161017000938		HELSINKI 	5100121231231231		

19.10.2016	19.10.2016	19.10.2016	-3,80	UniSport   Töölö kassa 37			Korttiosto	161018037773		HELSINKI 	5100121231231231		

20.10.2016	20.10.2016	20.10.2016	-631,00	Omatili	FI123	SBANFIHHXXX	Itsepalvelu			 			

20.10.2016	20.10.2016	20.10.2016	-9,90	Satkar Oy			Korttiosto	161018160002		HELSINKI 	5100121231231231		

21.10.2016	21.10.2016	21.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161019610190		HELSINKI 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-8,43	ALEPA MUNKKINIEMEN PUI			Korttiosto	161020829530		HELSINKI 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-2,80	Fazer Food Services Oy			Korttiosto	161020610200		ESPOO 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161020610200		HELSINKI 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-2,50	Apteekki Toolo			Korttiosto	161020610200		HELSINKI 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-30,00	R ESPOO OTANIEMI			Korttiosto	161021000948		ESPOO 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-16,00	Intersport Mikonkatu Hels			Korttiosto	161023018661		Helsinki 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-37,85	Intersport Mikonkatu Hels			Korttiosto	161023013888		Helsinki 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161021610210		HELSINKI 	5100121231231231		

24.10.2016	24.10.2016	24.10.2016	-2,25	Fazer Food Services Oy			Korttiosto	161021610210		ESPOO 	5100121231231231		

25.10.2016	25.10.2016	25.10.2016	-7,99	CLAS OHLSON KAM			Korttiosto	161023829820		HELSINKI 	5100121231231231		

25.10.2016	25.10.2016	25.10.2016	-4,40	ESPRESSOHOUSE KAMPPI			Korttiosto	161023829813		HELSINKI 	5100121231231231		

25.10.2016	25.10.2016	25.10.2016	-112,90	HSL Kampin terminaali			Korttiosto	161024001375		Helsinki 	5100121231231231		

25.10.2016	25.10.2016	25.10.2016	-15,00	Boulderkeskus Isatis			Korttiosto	161024102021		Helsinki 	5100121231231231		

26.10.2016	26.10.2016	26.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161024610240		ESPOO 	5100121231231231		

26.10.2016	26.10.2016	26.10.2016	-4,40	Fazer Food Services Oy			Korttiosto	161024610240		ESPOO 	5100121231231231		

26.10.2016	26.10.2016	26.10.2016	-21,56	NORDEA RAHOITUS SUOMI OY	123	NDEAFIHH							

26.10.2016	26.10.2016	26.10.2016	-22,76	Tele Finland/TeliaSonera Finla	FI4850000120223200	OKOYFIHH	e-lasku	11 64237 92119					

28.10.2016	28.10.2016	28.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161026610260		HELSINKI 	5100121231231231		

28.10.2016	28.10.2016	28.10.2016	-5,18	ALEPA CALONIUKSENKATU			Korttiosto	161026830138		HELSINKI 	5100121231231231		

28.10.2016	28.10.2016	28.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161025610250		ESPOO 	5100121231231231		

31.10.2016	31.10.2016	31.10.2016	-5,60	Fazer Food Services Oy			Korttiosto	161027610270		HELSINKI 	5100121231231231		

31.10.2016	31.10.2016	31.10.2016	-10,20	Haaga Instituutti Säätiö			Korttiosto	161028022273		Helsinki 	5100121231231231		

31.10.2016	31.10.2016	31.10.2016	-15,49	Alko Helsinki Lauttasaari			Korttiosto	161029012528		Helsinki 	5100121231231231		

31.10.2016	31.10.2016	31.10.2016	-9,80	MCDONALDS PACIUKSENK.			Korttiosto	161028000422		HELSINKI 	5100121231231231		

02.11.2016	02.11.2016	02.11.2016	-5,99	K SUPERMARKET KAMPPI			Korttiosto	161101077604		HELSINKI 	5100121231231231		

03.11.2016	03.11.2016	03.11.2016	-12,50	KUNTOKUMPPANIT			Korttiosto	161101120005		HELSINKI 	5100121231231231		

03.11.2016	03.11.2016	03.11.2016	-5,65	ALEPA CALONIUKSENKATU			Korttiosto	161101830731		HELSINKI 	5100121231231231		

03.11.2016	03.11.2016	03.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161101611010		HELSINKI 	5100121231231231		

04.11.2016	04.11.2016	04.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161102611020		HELSINKI 	5100121231231231		

04.11.2016	04.11.2016	04.11.2016	-14,99	PAYPAL *SPOTIFY			Korttiosto	161102643670		EUR          14,99 35314369001 	5100121231231231		

07.11.2016	07.11.2016	07.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161103611030		HELSINKI 	5100121231231231		

07.11.2016	07.11.2016	07.11.2016	-10,90	Harman Foods Oy			Korttiosto	161103160002		HELSINKI 	5100121231231231		

07.11.2016	07.11.2016	07.11.2016	-2,50	Katrina s Cafe   Cater			Korttiosto	161105160001		ESPOO 	5100121231231231		

07.11.2016	07.11.2016	07.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161104611040		HELSINKI 	5100121231231231		

08.11.2016	08.11.2016	08.11.2016	-1,49	Siwa Mechelinink 19 43887			Korttiosto	161107015347		Helsinki 	5100121231231231		

09.11.2016	09.11.2016	09.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161107611070		HELSINKI 	5100121231231231		

09.11.2016	09.11.2016	09.11.2016	-19,00	Koulutuskeskus Unika H			Korttiosto	161107611070		HELSINKI 	5100121231231231		

10.11.2016	10.11.2016	10.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161108611080		HELSINKI 	5100121231231231		

10.11.2016	10.11.2016	10.11.2016	-3,25	Nordea Pankki Suomi Oyj	123		Palvelumaksu ALV 0%			Päivittäispalvelut 10/2016 Nordea Electron       1 kpl    2,50 Korttitapahtumakysely                       1 kpl    0,75 Muut avainasiakasedut yht.     9,25 			

11.11.2016	11.11.2016	11.11.2016	-10,00	RAVINTOLA FACTORY KAMP			Korttiosto	161109530002		HELSINKI 	5100121231231231		

11.11.2016	11.11.2016	11.11.2016	-1,30	Antell Ravintolat Oy Aalt			Korttiosto	161110019197		Espoo 	5100121231231231		

14.11.2016	14.11.2016	14.11.2016	800,00	MY ACC			Tilisiirto						

14.11.2016	14.11.2016	14.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161110611100		ESPOO 	5100121231231231		

14.11.2016	14.11.2016	14.11.2016	-9,80	CAFE TORI			Korttiosto	161112336597		VANTAA 	5100121231231231		

14.11.2016	14.11.2016	14.11.2016	-23,44	GREEN CAB			Korttiosto	161112262912		USD          25,00 NASHVILLE KURSSI: 1,0666 	5100121231231231		

15.11.2016	15.11.2016	15.11.2016	1305,93	XYZ CO			Pano		2016.11.15-FV333001-001001000861	2016.11.15  			

15.11.2016	15.11.2016	15.11.2016	-8,95	Starbucks  40945			Korttiosto	161112111201		EUR           8,95 Berlin 	5100121231231231		

15.11.2016	15.11.2016	15.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161111611110		HELSINKI 	5100121231231231		

15.11.2016	15.11.2016	15.11.2016	-12,50	MAUERMUSEUM AM CC			Korttiosto	161112002309		EUR          12,50 BERLIN 	5100121231231231		

16.11.2016	16.11.2016	16.11.2016	-100,00	MY ACC	176124-14471	NDEAFIHHXXX	Itsepalvelu			 			

16.11.2016	16.11.2016	16.11.2016	-300,00	NORDNET BANK AB	182030-8391	NDEAFIHHXXX							

21.11.2016	19.11.2016	19.11.2016	-947,44	NORDEA RAHOITUS SUOMI OY	123	NDEAFIHH							

21.11.2016	21.11.2016	21.11.2016	-250,00	MY ACC	313	NDEAFIHH				 			

21.11.2016	21.11.2016	21.11.2016	-631,00	Omatili	FI123	SBANFIHHXXX	Itsepalvelu			 			

21.11.2016	21.11.2016	21.11.2016	-20,00	HSL Lentoasema			Korttiosto	161118001198		Helsinki 	5100121231231231		

23.11.2016	23.11.2016	23.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161121611210		HELSINKI 	5100121231231231		

24.11.2016	24.11.2016	24.11.2016	-3,30	Mäkelänrinteen Uintikesku			Korttiosto	161123018492		HELSINKI 	5100121231231231		

25.11.2016	25.11.2016	25.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161123611230		HELSINKI 	5100121231231231		

25.11.2016	25.11.2016	25.11.2016	-20,40	LEONARDO			Korttiosto	161123611230		HELSINKI 	5100121231231231		

25.11.2016	25.11.2016	25.11.2016	-7,08	ALEPA CALONIUKSENKATU			Korttiosto	161123832935		HELSINKI 	5100121231231231		

28.11.2016	28.11.2016	28.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161124611240		HELSINKI 	5100121231231231		

28.11.2016	28.11.2016	28.11.2016	-758,87	ABC PERSON	147035-625762	NDEAFIHHXXX	Itsepalvelu			 			

28.11.2016	28.11.2016	28.11.2016	-735,00	ABC PERSON	147035-625762	NDEAFIHHXXX	Itsepalvelu			 			

29.11.2016	29.11.2016	29.11.2016	-5,60	Fazer Food Services Oy			Korttiosto	161125611250		HELSINKI 	5100121231231231		

29.11.2016	29.11.2016	29.11.2016	-2,00	Pistrina Oy			Korttiosto	161128010838		HELSINKI 	5100121231231231		

30.11.2016	30.11.2016	30.11.2016	-20,00				ATMotto/Otto.			05601 URHO KEKKOSEN KATU 1 HELSINKI 	5100121231231231		

01.12.2016	01.12.2016	01.12.2016	-5,20	Fazer Food Services Oy			Korttiosto	161129611290		HELSINKI 	5100121231231231		

01.12.2016	01.12.2016	01.12.2016	-3,28	ALEPA CALONIUKSENKATU			Korttiosto	161129833534		HELSINKI 	5100121231231231		

02.12.2016	02.12.2016	02.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161130611300		HELSINKI 	5100121231231231		

02.12.2016	02.12.2016	02.12.2016	-7,77	LA CANAULIERE			Korttiosto	161201030652		SEK          75,00 STOCKHOLM KURSSI: 9,6525 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-8,08	ELITE PALACE HOTEL			Korttiosto	161201021284		SEK          78,00 Stockholm KURSSI: 9,6535 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-11,91	VIGARDA VASAGATAN 44			Korttiosto	161201021284		SEK         115,00 Stockholm KURSSI: 9,6558 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-14,99	PAYPAL *SPOTIFY			Korttiosto	161202648723		EUR          14,99 35314369001 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-4,87	5135 STARBUCKS			Korttiosto	161201110007		SEK          47,00 STOCKHOLM KURSSI: 9,6509 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-19,99	CAFFE MEZZO			Korttiosto	161202833866		SEK         193,00 SOLNA KURSSI: 9,6548 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-5,16	HENNES   MAURITZ SE014			Korttiosto	161203021302		SEK          49,90 Solna KURSSI: 9,6705 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-38,83	FLIPPIN BURGERS			Korttiosto	161202833874		SEK         375,00 STOCKHOLM KURSSI: 9,6575 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-7,04	RESTAURANG DRAMA			Korttiosto	161203833947		SEK          68,00 SOLNA KURSSI: 9,6591 	5100121231231231		

05.12.2016	05.12.2016	05.12.2016	-9,32	BIERHAUS			Korttiosto	161202021295		SEK          90,00 Stockholm KURSSI: 9,6567 	5100121231231231		

07.12.2016	06.12.2016	06.12.2016	-784,92	ABC PERSON	147035-625762	NDEAFIHHXXX	Itsepalvelu			 			

07.12.2016	07.12.2016	07.12.2016	-85,00	Helsingin Kirja  ja le			Korttiosto	161205160002		Helsinki 	5100121231231231		

08.12.2016	08.12.2016	08.12.2016	150,00	FAMILY_1									

09.12.2016	09.12.2016	09.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161207612070		HELSINKI 	5100121231231231		

09.12.2016	09.12.2016	09.12.2016	-30,00	HSL Kampin terminaali			Korttiosto	161208001469		Helsinki 	5100121231231231		

09.12.2016	09.12.2016	09.12.2016	-1,30	Antell Ravintolat Oy Aalt			Korttiosto	161208010146		Espoo 	5100121231231231		

12.12.2016	12.12.2016	12.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161208612080		HELSINKI 	5100121231231231		

12.12.2016	12.12.2016	12.12.2016	-3,25	Nordea Pankki Suomi Oyj	123		Palvelumaksu ALV 0%			Päivittäispalvelut 11/2016 Nordea Electron       1 kpl    2,50 Korttitapahtumakysely                       1 kpl    0,75 Muut avainasiakasedut yht.     9,25 			

12.12.2016	12.12.2016	12.12.2016	-20,94	Tele Finland/TeliaSonera Finla	FI4850000120223200	OKOYFIHH							

13.12.2016	13.12.2016	13.12.2016	-8,90	Stockmann Helsinki			Korttiosto	161211612117		Helsinki 	5100121231231231		

13.12.2016	13.12.2016	13.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161209612090		HELSINKI 	5100121231231231		

14.12.2016	14.12.2016	14.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161212612120		ESPOO 	5100121231231231		

14.12.2016	14.12.2016	14.12.2016	800,00	MY ACC			Tilisiirto						

15.12.2016	15.12.2016	15.12.2016	1111,11	XYZ CO			Pano		2016.12.15-FV333001-001001001129	2016.12.15  			

15.12.2016	15.12.2016	15.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161213612130		ESPOO 	5100121231231231		

15.12.2016	15.12.2016	15.12.2016	-3,18	ALEPA OTANIEMI			Korttiosto	161213834935		ESPOO 	5100121231231231		

15.12.2016	15.12.2016	15.12.2016	-1,55	Fazer Food Services Oy			Korttiosto	161213612130		ESPOO 	5100121231231231		

16.12.2016	16.12.2016	16.12.2016	-300,00	NORDNET BANK AB	182030-8391	NDEAFIHHXXX							

16.12.2016	16.12.2016	16.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161214612140		HELSINKI 	5100121231231231		

16.12.2016	16.12.2016	16.12.2016	-3,50	Meilahden Liikuntakesk			Korttiosto	161214160001		HELSINKI 	5100121231231231		

16.12.2016	16.12.2016	16.12.2016	-5,38	ALEPA CALONIUKSENKATU			Korttiosto	161214835031		HELSINKI 	5100121231231231		

19.12.2016	17.12.2016	17.12.2016	-165,76	NORDEA RAHOITUS SUOMI OY	123	NDEAFIHH							

19.12.2016	19.12.2016	19.12.2016	-250,00	MY ACC	313	NDEAFIHH				 			

19.12.2016	19.12.2016	19.12.2016	-5,60	Fazer Food Services Oy			Korttiosto	161215612150		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-81,10	AKATEEMINEN HELSINKI			Korttiosto	161215001103		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-1,00	UniSport   Töölö kassa 37			Korttiosto	161216370236		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-12,00	Los Bastardos Oy			Korttiosto	161216011176		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-11,90	POCKET SHOP RAUTATIEAS			Korttiosto	161216001106		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-25,00	iZ *RIVA Clothing			Korttiosto	161217021443		JYVASKYLA 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	-2,90	Avecra Oy Baguette   C			Korttiosto	161216612160		HELSINKI 	5100121231231231		

19.12.2016	19.12.2016	19.12.2016	1083,60	XYZ CO			Pano		6216192016-11-12	MATKALASKU2016 			

19.12.2016	19.12.2016	19.12.2016	500,00	MY ACC									

19.12.2016	19.12.2016	19.12.2016	-2222,22	AS OY	102030-84580	NDEAFIHHXXX	Itsepalvelu	3000 01200 05065		 			

20.12.2016	20.12.2016	20.12.2016	-631,00	Omatili	FI123	SBANFIHHXXX	Itsepalvelu			 			
